Latitude,Longitude,Min. Depth,Temp. Gradient
38.4333,-75.0514,363,26
36.0339,-117.8347,70,152
36.0172,-117.8167,40,146
34.7342,-117.7678,274,23
34.55,-117.7167,366,24
42.9344,-116.2858,70,74
42.8517,-116.2011,160,118
42.8167,-116.1525,290,70
42.8172,-116.0186,80,107
42.7856,-115.2514,160,110
43.7525,-112.6842,407,59
43.4844,-112.6833,455,41
43.7667,-112.5192,160,28
40.2333,-108.9333,1740,15
38.95,-108.6167,150,23
39.9667,-108.4667,663,55
40.05,-108.3333,617,56
37,-107.5167,1951,48
38.8847,-107.0506,840,37
37.9333,-106.95,430,35
38.9842,-106.9353,160,39
39.3675,-106.1833,90,51
38.7833,-106.1667,120,37
40.4011,-105.9514,250,37
39.7514,-105.8183,793,54
38.1347,-105.4347,100,29
39.835,-105.2836,50,28
39.6689,-105.2344,50,28
37.7667,-103.6167,50,39
33.9347,-90.7672,20,27
38.9167,-77.1,228,16
34.55,-117.7167,488,24
42.9344,-116.2858,10,74
38.8844,-107.0517,800,39
39.7511,-105.8344,854,35
38.1347,-105.4347,120,31
38.885,-107.0503,200,42
46.9836,-91.5347,204,31
47.5167,-88.2006,250,48
47.4856,-88.1842,244,55
47.5006,-88.185,229,38
47.5344,-88.2167,259,53
47.5683,-88.2514,274,56
47.7167,-88.0508,256,49
47.6189,-88.4669,229,38
47.5344,-88.4175,259,55
47.6342,-87.8847,265,53
47.7019,-87.9003,289,38
47.9181,-87.9,247,53
47.4181,-90.9333,256,28
47.2514,-91.0167,183,40
47.2008,-91.2181,311,25
47.2839,-90.8514,177,36
47.4,-90.7014,189,33
47.5175,-90.5025,174,43
47.5356,-90.3189,177,45
47.4,-89.8,174,40
47.2333,-89.7847,192,37
47.1008,-89.7014,210,45
47.15,-89.5,190,50
47.3514,-89.1683,192,50
47.8333,-87.4667,227,36
47.9167,-87.0667,219,35
48.0692,-86.2178,219,58
47.9667,-86.4022,201,45
47.9681,-86.4689,305,39
47.9347,-86.85,236,47
48.15,-88.0333,241,31
47.6167,-89.9833,183,34
47.75,-89.9833,192,31
47.5847,-90.1514,177,38
47.5333,-90.7333,180,36
47.55,-88.8014,206,55
47.55,-88.8014,206,55
47.6006,-88.65,213,56
47.5014,-88.5833,256,57
47.4667,-88.7833,219,55
47.4,-88.6014,177,48
47.7853,-89.8,195,26
47.6667,-89.7333,183,28
47.5347,-89.6847,192,38
47.5833,-89.4847,192,36
47.45,-89.4181,204,35
47.4014,-89.0333,192,54
47.3167,-89.3667,201,49
47.4167,-89.6181,201,44
47.2833,-89.5667,198,44
46.9856,-89.8,213,54
47.9514,-88.0667,347,57
47.85,-88.1167,238,54
47.5333,-89.25,204,47
47.5508,-89,201,56
47.8,-88.25,247,55
47.95,-88.5347,256,43
47.7847,-88.5167,229,47
47.8347,-88.7847,256,48
47.8833,-89.6181,229,27
47.65,-89.2847,177,36
47.75,-89.0167,210,50
47.7333,-88.7167,238,52
47.5333,-88.8167,244,49
47.6514,-88.9181,201,43
47.9675,-89.4014,250,25
48.6672,-87.8506,177,40
48.5356,-87.75,181,32
48.4178,-87.7833,208,36
48.2681,-87.7167,247,53
48.1833,-87.4183,268,51
47.9833,-87.1847,223,44
47.0167,-86.3833,238,56
47.0514,-86.5681,229,55
47.1514,-86.95,296,55
46.7514,-87.1333,192,59
48.0356,-86.8522,205,50
48.1683,-86.9853,250,55
48.2847,-86.935,198,53
48.4514,-86.9189,256,51
48.5842,-86.9178,259,39
48.685,-86.8014,241,47
47.7667,-86.45,219,54
47.4856,-86.2167,233,34
47.3681,-86.1017,229,55
47.0014,-86.2167,229,53
47.0181,-85.9344,247,52
47.0167,-85.7689,216,62
47.0178,-85.5167,219,51
47.0186,-85.2833,265,53
47.2667,-85.2522,247,63
47.4344,-85.2353,302,46
47.5667,-85.185,320,44
47.7186,-85.05,302,40
47.6517,-85.6008,238,44
47.4,-85.5333,302,62
47.8347,-86.0347,210,58
47.9858,-86.2519,238,53
48.35,-86.2669,210,44
47.5167,-86.5667,223,59
47.3022,-86.6847,247,59
47.3333,-87.1167,311,53
47.6017,-87.5167,192,47
47.5006,-87.1517,320,51
48.2681,-88.5669,210,39
48.2522,-88.8358,229,54
48.1678,-89.0183,293,48
48.0842,-89.2358,247,44
48.0167,-89.1517,216,41
47.1008,-91.1006,183,36
46.9172,-91.75,183,52
47.9681,-89.4008,247,31
48.0336,-89.3353,219,35
