Year,Week,uglo(average_of_day)
2004,31,7512
2004,32,6899.14285714286
2004,33,6600.85714285714
2004,34,6916.28571428571
2004,35,6792
2004,36,6428.57142857143
2004,37,6019.71428571429
2004,38,5982.85714285714
2004,39,5667.42857142857
2004,40,5726.57142857143
2004,41,5228.57142857143
2004,42,3894
2004,43,4082.57142857143
2004,44,4546.28571428571
2004,45,3921.42857142857
2004,46,3746.57142857143
2004,47,3314.57142857143
2004,48,3637.71428571429
2004,49,2880
2004,50,3486.85714285714
2004,51,3351.42857142857
2004,52,2626.28571428571
2005,1,3089.14285714286
2005,2,3660.85714285714
2005,3,3162
2005,4,3425.14285714286
2005,5,4110.85714285714
2005,6,3231.42857142857
2005,7,2736.85714285714
2005,8,3920.57142857143
2005,9,5160
2005,10,5733.42857142857
2005,11,5074.28571428571
2005,12,5898.85714285714
2005,13,6477.42857142857
2005,14,6930
2005,15,7260
2005,16,6523.71428571429
2005,17,7206.85714285714
2005,18,7246.28571428571
2005,19,8042.57142857143
2005,20,8083.71428571429
2005,21,7997.14285714286
2005,22,8043.42857142857
2005,23,8213.14285714286
2005,24,8241.42857142857
2005,25,8080.28571428571
2005,26,8184
2005,27,8063.14285714286
2005,28,6976.28571428571
2005,29,6888.85714285714
2005,30,6862.28571428571
2005,31,6299.14285714286
2005,32,6676.28571428571
2005,33,7126.28571428571
2005,34,6692.57142857143
2005,35,6705.42857142857
2005,36,6513.42857142857
2005,37,6333.42857142857
2005,38,5470.28571428571
2005,39,5403.42857142857
2005,40,5607.42857142857
2005,41,5229.42857142857
2005,42,3987.42857142857
2005,43,4735.71428571429
2005,44,4291.71428571429
2005,45,3608.57142857143
2005,46,4032.85714285714
2005,47,3384
2005,48,3462.85714285714
2005,49,3411.42857142857
2005,50,2602.28571428571
2005,51,3049.71428571429
2005,52,3060
